,X,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
19,19,RT @CCCuration: Take a moment to reflect on the most effervescent gentleman that graced motorsport - Henry Hope-Frost #Fever https://t.co/eâ€¦,FALSE,0,NA,3/8/19 20:47,FALSE,NA,1.10412E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",keithdriving,7,TRUE,FALSE,NA,NA
20,20,Getting ready to watch @rickygervais #AfterLife tea âœ… Kleenex âœ… quilt âœ… #flu #sick #death,FALSE,0,NA,3/8/19 20:46,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",catec137,0,FALSE,FALSE,NA,NA
21,21,"RT @CDCFlu: #FluFactFriday: Flu vaccine not only protects you, but those around you. 
Protection from #flu is especially important for thoâ€¦",FALSE,0,NA,3/8/19 20:44,FALSE,NA,1.10412E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DCHHS,17,TRUE,FALSE,NA,NA
22,22,"RT @johncatucci: Last shoot day in Earltown, Nova Scotia. 
#novascotia #winter #cold https://t.co/ljt8SriW6Z",FALSE,0,NA,3/8/19 20:43,FALSE,NA,1.10412E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",annadebartolo2,5,TRUE,FALSE,NA,NA
23,23,@sixers @warriors #philadelphia #nyc #highline #walking #holiday #nofilter #stateofliberty #citylife #highlinenycâ€¦ https://t.co/Wf7yoUuZbC,FALSE,0,sixers,3/8/19 20:43,TRUE,NA,1.10412E+18,16201775,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",raimen_hibu,0,FALSE,FALSE,NA,NA
24,24,RT @TheWWImuseum: #WW101 | #OTD in 1918: First report of #Influenza in KS. The disease is carried from US to the Western Front. Over the neâ€¦,FALSE,0,NA,3/8/19 20:43,FALSE,NA,1.10412E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",EastSideScribe,6,TRUE,FALSE,NA,NA
25,25,"This weather is calling for popcorn, hot chocolate and naps... #rain #cold",FALSE,0,NA,3/8/19 20:41,FALSE,NA,1.10412E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",GABKLA1,0,FALSE,FALSE,NA,NA
26,26,"RT @TylerAtene: Love and hate the weather
.
.
.
.
.
.
.
.
.
.
#snow #photography #rich #weather #gangster #music #art #rooftop #cold #hoodiâ€¦",FALSE,0,NA,3/8/19 20:41,FALSE,NA,1.10412E+18,NA,"<a href=""http://example.com"" rel=""nofollow"">HateArtBot</a>",IhateArtBot,1,TRUE,FALSE,NA,NA
27,27,Big cat in progress ðŸŒ¨ #snow #leopard #bigcat #artist #cat #feline #cold #icy #snowy #fur #paint #beautiful #passionâ€¦ https://t.co/weGJnEWsdG,FALSE,0,NA,3/8/19 20:41,TRUE,NA,1.10412E+18,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Boon_Ying,0,FALSE,FALSE,NA,NA
28,28,"Love and hate the weather
.
.
.
.
.
.
.
.
.
.
#snow #photography #rich #weather #gangster #music #art #rooftopâ€¦ https://t.co/cuvITXOCIA",FALSE,1,NA,3/8/19 20:40,TRUE,NA,1.10412E+18,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",TylerAtene,1,FALSE,FALSE,-111.507,40.661
